in:Fillet,in:Width,in:form variable,in:Fillet Base,out:Floor Area Small,out:Floor Area Large,out:Floor Area Deviation,out:Floor Area,out: FAR,out:Facade Area,out:Num Panels,out:Percent Planar,out:Facade Cost,out:Avg Solar Rad. (kWh/m2),img
7,30,0,8,1645.061929,1882.887816,237.825887,72214.21811,7.371392797,26812.96517,2231,0.666517,25975659.12,74.734626,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width30_formvariable0_FilletBase8_Perspective.png
14,30,0,8,1644.700372,1757.538558,112.838187,69798.40276,7.124794214,25825.61268,2146,0.524697,26792566.46,77.461914,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width30_formvariable0_FilletBase8_Perspective.png
21,30,0,8,1547.39034,1650.512688,103.122348,66101.44278,6.747420549,24843.94592,2063,0.351915,27852620.02,80.366382,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width30_formvariable0_FilletBase8_Perspective.png
7,36,0,8,1789.061929,1882.887816,93.825887,75238.21811,7.680072894,26736.78732,2231,0.676827,25768396.71,80.771501,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width36_formvariable0_FilletBase8_Perspective.png
14,36,0,8,1756.971725,1789.10015,32.128425,72822.40276,7.433474311,25766.04949,2146,0.523765,26742400.27,83.790973,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width36_formvariable0_FilletBase8_Perspective.png
21,36,0,8,1548.276779,1789.061929,240.785149,69125.44278,7.056100646,24801.02806,2063,0.348522,27845251.48,87.220711,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width36_formvariable0_FilletBase8_Perspective.png
7,42,0,8,1861.061929,1882.887816,21.825887,76750.21811,7.834412942,26698.68877,2231,0.721649,25152229.16,83.397196,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width42_formvariable0_FilletBase8_Perspective.png
14,42,0,8,1757.354114,1861.061929,103.707814,74334.40276,7.587814359,25736.14264,2146,0.527493,26664905.57,86.849131,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width42_formvariable0_FilletBase8_Perspective.png
21,42,0,8,1548.397975,1861.061929,312.663954,70637.44278,7.210440694,24779.45741,2063,0.361609,27664003.67,90.326607,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width42_formvariable0_FilletBase8_Perspective.png
7,48,0,8,1861.061929,1882.887816,21.825887,76750.21811,7.834412942,26698.89152,2231,0.721649,25152420.17,83.681691,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width48_formvariable0_FilletBase8_Perspective.png
14,48,0,8,1757.354114,1861.061929,103.707814,74334.40276,7.587814359,25736.19919,2146,0.526095,26682384.69,87.011406,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width48_formvariable0_FilletBase8_Perspective.png
21,48,0,8,1548.397975,1861.061929,312.663954,70637.44278,7.210440694,24779.45167,2063,0.356762,27722156.29,90.590346,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width48_formvariable0_FilletBase8_Perspective.png
7,54,0,8,1789.061929,1882.887816,93.825887,75238.21811,7.680072894,26737.20279,2231,0.663828,25937079.73,80.766081,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet7_Width54_formvariable0_FilletBase8_Perspective.png
14,54,0,8,1756.971725,1789.10015,32.128425,72822.40276,7.433474311,25766.04937,2146,0.518173,26812162.98,83.859855,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet14_Width54_formvariable0_FilletBase8_Perspective.png
21,54,0,8,1548.276779,1789.061929,240.785149,69125.44278,7.056100646,24801.01914,2063,0.348037,27851062.41,87.102859,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/facade/Fillet21_Width54_formvariable0_FilletBase8_Perspective.png
