in:Iteration,out:Sunshine_hrs,out:SVF,out:Horizontal_Solar,out:Roof_Solar,out:A/V_ratio,out:Isovist_GP,out:%Surface_View,out:FSR,out:Site_Cvr%,out:Max_H,img,threeD
0,1128.356558,0.446185,1816.919199,1134.438579,0.169604,311.792234,39.142452,2.615521,38.773846,18,FragmentB0_Aerial Iso 2.png,FragmentB0.json
1,1143.929743,0.430411,2866.294706,1125.726767,0.173552,355.601797,38.473963,2.749085,39.996131,15,FragmentB1_Aerial Iso 2.png,FragmentB1.json
2,1069.859844,0.438023,1836.159572,1147.754532,0.171198,306.431256,38.001778,2.81825,36.447575,14,FragmentB2_Aerial Iso 2.png,FragmentB2.json
3,1226.049508,0.461157,1747.295499,1098.13165,0.157477,318.018438,34.85147,2.766572,37.886547,13,FragmentB3_Aerial Iso 2.png,FragmentB3.json
4,1250.629014,0.442851,1741.18197,1095.966293,0.164575,358.788152,38.402691,3.003866,38.39229,16,FragmentB4_Aerial Iso 2.png,FragmentB4.json
5,1280.733817,0.425244,2410.308921,1140.933585,0.176121,392.460423,36.401306,2.754239,35.039252,16,FragmentB5_Aerial Iso 2.png,FragmentB5.json
6,1455.43386,0.494135,3661.166405,1159.666554,0.183509,396.410171,35.567056,2.116419,33.220914,16,FragmentB6_Aerial Iso 2.png,FragmentB6.json
7,1568.326873,0.484616,1844.76402,1159.666554,0.170898,446.22134,43.102842,2.558972,33.239246,16,FragmentB7_Aerial Iso 2.png,FragmentB7.json
8,1272.286568,0.43158,3615.180786,1158.187344,0.172007,391.440076,33.579078,2.539165,38.146573,16,FragmentB8_Aerial Iso 2.png,FragmentB8.json
9,1512.942848,0.472669,1737.198647,1158.187344,0.170857,454.005412,41.908263,2.642569,34.07679,16,FragmentB9_Aerial Iso 2.png,FragmentB9.json
10,1544.421099,0.479163,2529.417359,1093.502737,0.173476,491.086755,43.123803,2.607055,33.783416,16,FragmentB10_Aerial Iso 2.png,FragmentB10.json
11,1666.588215,0.545521,2547.783915,1120.92605,0.178318,476.209149,48.43307,2.327043,29.49515,16,FragmentB11_Aerial Iso 2.png,FragmentB11.json
12,1266.297872,0.42275,2489.598343,1115.87104,0.175514,424.247127,39.753532,2.869201,38.637981,16,FragmentB12_Aerial Iso 2.png,FragmentB12.json
13,1621.262769,0.500728,2557.333844,1101.435926,0.174502,478.164504,45.893913,2.481984,31.731948,16,FragmentB13_Aerial Iso 2.png,FragmentB13.json
14,1402.689982,0.463338,3701.723047,1156.854568,0.175904,418.021518,34.641301,2.308967,35.636561,16,FragmentB14_Aerial Iso 2.png,FragmentB14.json
15,1456.363304,0.454556,1768.482747,1156.854568,0.168889,454.883844,38.899973,2.781701,36.375797,16,FragmentB15_Aerial Iso 2.png,FragmentB15.json
16,1537.255226,0.505733,2610.695166,1117.352137,0.167839,422.35179,46.404798,2.521253,31.436845,16,FragmentB16_Aerial Iso 2.png,FragmentB16.json
17,1466.742333,0.494921,3718.65146,1156.925407,0.174035,423.769829,40.306639,2.336218,33.226774,16,FragmentB17_Aerial Iso 2.png,FragmentB17.json
18,1427.971707,0.460729,2506.523402,1095.407682,0.171704,420.377122,41.500404,2.740188,35.595428,16,FragmentB18_Aerial Iso 2.png,FragmentB18.json
19,1111.953901,0.38618,2430.146206,1098.835314,0.171893,374.424055,34.617491,3.166413,42.955517,16,FragmentB19_Aerial Iso 2.png,FragmentB19.json
20,1522.233891,0.535319,1839.850883,1095.567037,0.163054,423.432263,46.680129,2.533078,32.292027,16,FragmentB20_Aerial Iso 2.png,FragmentB20.json
21,1443.962054,0.467783,3632.686727,1132.15888,0.177662,435.78038,36.290037,2.513391,35.135118,16,FragmentB21_Aerial Iso 2.png,FragmentB21.json
22,1661.348274,0.53991,2491.862,1116.92643,0.159374,474.933073,45.701721,2.441502,29.247834,16,FragmentB22_Aerial Iso 2.png,FragmentB22.json
23,1200.394466,0.419579,2531.706584,1141.144858,0.163056,366.070553,37.611293,2.928212,38.260982,16,FragmentB23_Aerial Iso 2.png,FragmentB23.json
24,1224.656396,0.436016,2643.027096,1143.69701,0.162545,366.238817,38.956455,2.701227,38.526334,16,FragmentB24_Aerial Iso 2.png,FragmentB24.json
25,1423.489717,0.495416,1812.961681,1143.69701,0.163136,421.040546,42.909171,2.711436,35.594952,16,FragmentB25_Aerial Iso 2.png,FragmentB25.json
26,1397.582729,0.489375,2564.915553,1136.628924,0.17536,422.767209,44.632071,2.58919,34.349715,16,FragmentB26_Aerial Iso 2.png,FragmentB26.json
27,1812.311756,0.585863,1934.637046,1136.628924,0.168829,491.560417,53.875484,2.132555,26.972609,16,FragmentB27_Aerial Iso 2.png,FragmentB27.json
28,1160.898111,0.405028,2523.656766,1109.894656,0.169962,356.575259,38.86548,3.002334,40.449979,16,FragmentB28_Aerial Iso 2.png,FragmentB28.json
29,1645.357105,0.519525,1784.535829,1144.067507,0.182969,474.544145,43.920334,2.330205,29.629554,16,FragmentB29_Aerial Iso 2.png,FragmentB29.json
30,1456.363304,0.454556,1768.334884,1089.327314,0.168889,454.883844,38.98644,2.781701,36.375797,16,FragmentB30_Aerial Iso 2.png,FragmentB30.json
31,1233.137653,0.444493,2549.31604,1117.028791,0.16426,351.978061,40.450268,2.897896,38.557492,16,FragmentB31_Aerial Iso 2.png,FragmentB31.json
32,1831.655025,0.576732,2002.388941,1102.234427,0.170889,487.498645,55.293365,2.031895,27.138982,16,FragmentB32_Aerial Iso 2.png,FragmentB32.json
33,1618.978537,0.562531,1838.372237,1139.861494,0.176265,451.708032,47.212181,2.259939,28.848709,16,FragmentB33_Aerial Iso 2.png,FragmentB33.json
34,1541.265363,0.526149,1895.459437,1102.342592,0.16455,419.386,48.048847,2.488707,32.458401,16,FragmentB34_Aerial Iso 2.png,FragmentB34.json
35,1846.662459,0.578983,1843.184471,1126.798458,0.184531,550.832667,49.877659,2.037774,26.832216,16,FragmentB35_Aerial Iso 2.png,FragmentB35.json
36,1423.489717,0.495416,1812.961681,1126.798458,0.163136,421.040546,42.909171,2.711436,35.594952,16,FragmentB36_Aerial Iso 2.png,FragmentB36.json
