in:Layer ,out:Sunshine rs,out:SVF,out:North_Solar,out:East_Solar,out:NE_Solar,out:SE_Solar,out:South_Solar,out:SW_Solar,out:West_Solar,out:NW_Solar,out:Roof_Solar,out:A/V ratio,img,threeD
1,1732.91898,0.385725,-999,-999,108.235198,698.629129,-999,303.089744,-999,325.731102,360.466177,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer1_Top2_.png,Layer1.json
2,1824.048651,0.404047,198.601145,229.683877,-999,-999,819.862138,-999,191.993362,-999,526.871177,0.344979,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer2_Top2_.png,Layer2.json
3,1763.50884,0.397409,-999,-999,169.836135,788.538298,-999,270.37305,-999,226.413698,538.421845,0.344979,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer3_Top2_.png,Layer3.json
4,1756.652199,0.397136,-999,-999,171.01007,786.694036,-999,268.656393,-999,219.974522,533.694589,0.343503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer4_Top2_.png,Layer4.json
5,1921.197669,0.396685,-999,-999,109.895191,698.629128,-999,284.545013,-999,311.597287,356.209994,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer5_Top2_.png,Layer5.json
6,1750.045098,0.396255,-999,-999,164.636865,777.803783,-999,254.240059,-999,214.169983,427.357512,0.368666,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer6_Top2_.png,Layer6.json
7,1803.5251,0.399211,192.246034,229.010576,-999,-999,806.051795,-999,181.585955,-999,404.155822,0.358361,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer7_Top2_.png,Layer7.json
8,1812.910036,0.401302,192.823915,221.995525,-999,-999,806.778202,-999,176.007285,-999,413.858767,0.368666,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer8_Top2_.png,Layer8.json
9,1740.125472,0.393842,-999,-999,163.512668,770.746905,-999,253.621198,-999,214.760138,359.758421,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer9_Top2_.png,Layer9.json
10,1972.148268,0.405267,184.143388,231.22786,-999,-999,797.222889,-999,190.799661,-999,522.899429,0.343503,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer10_Top2_.png,Layer10.json
11,1938.343415,0.399939,-999,-999,113.797068,712.019188,-999,302.648525,-999,331.130258,538.824792,0.344979,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer11_Top2_.png,Layer11.json
12,1732.265532,0.386968,-999,-999,115.814141,709.279001,-999,329.354241,-999,320.72001,517.696645,0.335792,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer12_Top2_.png,Layer12.json
13,1757.466569,0.388149,-999,-999,112.148986,712.019192,-999,319.578476,-999,344.996176,540.867477,0.344979,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer13_Top2_.png,Layer13.json
14,1740.125472,0.393842,-999,-999,163.512668,770.746905,-999,253.621198,-999,214.760138,359.758421,0.380524,https://raw.githubusercontent.com/abuzreq/ds_datasets/refs/heads/main/solar/Layer14_Top2_.png,Layer14.json
